ID,Length,Width,Height,Source_X,Source_Y,Source_Z,Receiver_X,Receiver_Y,Receiver_Z,f1,f2,f3,f4,f5,f6,f7
RIR_001_case0_edc,3.0,3.0,2.5,1.4,2.0,1.5,1.0,1.0,1.5,0.19,0.34,0.55,0.62,0.62,0.64,0.64
RIR_001_case1_edc,3.0,3.0,2.5,1.4,2.0,1.5,1.0,1.0,1.5,0.26,0.42,0.6,0.58,0.56,0.58,0.24
RIR_001_case2_edc,3.0,3.0,2.5,1.4,2.0,1.5,1.0,1.0,1.5,0.25,0.26,0.26,0.19,0.1,0.08,0.03
RIR_001_case3_edc,3.0,3.0,2.5,1.4,2.0,1.5,1.0,1.0,1.5,0.29,0.6,0.85,0.83,0.69,0.63,0.3
RIR_001_case4_edc,3.0,3.0,2.5,1.4,2.0,1.5,1.0,1.0,1.5,0.26,0.42,0.61,0.61,0.61,0.64,0.24
RIR_001_case5_edc,3.0,3.0,2.5,1.4,2.0,1.5,1.0,1.0,1.5,0.24,0.38,0.5,0.47,0.37,0.32,0.1
RIR_001_case6_edc,3.0,3.0,2.5,1.4,2.0,1.5,1.0,1.0,1.5,0.2,0.34,0.45,0.44,0.38,0.34,0.01
RIR_001_case7_edc,3.0,3.0,2.5,1.4,2.0,1.5,1.0,1.0,1.5,0.14,0.16,0.25,0.24,0.22,0.24,0.01
RIR_001_case8_edc,3.0,3.0,2.5,1.4,2.0,1.5,1.0,1.0,1.5,0.26,0.32,0.32,0.27,0.24,0.22,0.21
RIR_001_case9_edc,3.0,3.0,2.5,1.4,2.0,1.5,1.0,1.0,1.5,0.22,0.34,0.39,0.41,0.4,0.4,0.39
RIR_001_case10_edc,3.0,3.0,2.5,1.4,2.0,1.5,1.0,1.0,1.5,0.2,0.35,0.46,0.45,0.36,0.32,0.1
RIR_001_case12_edc,3.0,3.0,2.5,1.4,2.0,1.5,1.0,1.0,1.5,0.25,0.48,0.62,0.6,0.52,0.49,0.27
RIR_001_case13_edc,3.0,3.0,2.5,1.4,2.0,1.5,1.0,1.0,1.5,0.22,0.41,0.52,0.45,0.4,0.39,0.18
RIR_001_case14_edc,3.0,3.0,2.5,1.4,2.0,1.5,1.0,1.0,1.5,0.17,0.15,0.14,0.18,0.17,0.16,0.03
RIR_001_case15_edc,3.0,3.0,2.5,1.4,2.0,1.5,1.0,1.0,1.5,0.22,0.21,0.2,0.22,0.2,0.17,0.04
RIR_001_case16_edc,3.0,3.0,2.5,1.4,2.0,1.5,1.0,1.0,1.5,0.19,0.3,0.38,0.45,0.39,0.31,0.01
RIR_001_case17_edc,3.0,3.0,2.5,1.4,2.0,1.5,1.0,1.0,1.5,0.15,0.23,0.3,0.39,0.37,0.36,0.22
RIR_001_case18_edc,3.0,3.0,2.5,1.4,2.0,1.5,1.0,1.0,1.5,0.27,0.24,0.22,0.17,0.09,0.08,0.02
RIR_001_case19_edc,3.0,3.0,2.5,1.4,2.0,1.5,1.0,1.0,1.5,0.22,0.26,0.24,0.22,0.22,0.22,0.2
RIR_001_case20_edc,3.0,3.0,2.5,1.4,2.0,1.5,1.0,1.0,1.5,0.17,0.19,0.2,0.16,0.08,0.07,0.02
RIR_001_case21_edc,3.0,3.0,2.5,1.4,2.0,1.5,1.0,1.0,1.5,0.11,0.12,0.13,0.18,0.17,0.14,0.01
RIR_001_case22_edc,3.0,3.0,2.5,1.4,2.0,1.5,1.0,1.0,1.5,0.09,0.05,0.04,0.04,0.03,0.02,0.02
RIR_001_case23_edc,3.0,3.0,2.5,1.4,2.0,1.5,1.0,1.0,1.5,0.18,0.25,0.26,0.23,0.22,0.22,0.21
RIR_001_case24_edc,3.0,3.0,2.5,1.4,2.0,1.5,1.0,1.0,1.5,0.14,0.27,0.36,0.3,0.24,0.24,0.03
RIR_001_case26_edc,3.0,3.0,2.5,1.4,2.0,1.5,1.0,1.0,1.5,0.12,0.12,0.12,0.17,0.16,0.15,0.02
